Country,Code,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,,,
Aruba,ABW,1.87E+03,1.92E+03,1.94E+03,2.02E+03,2.23E+03,2.33E+03,2.42E+03,2.62E+03,2.79E+03,2.50E+03,2.47E+03,2.58E+03,0.00E+00,,,
Andorra,AND,1.40E+03,1.48E+03,1.72E+03,2.37E+03,2.92E+03,3.25E+03,3.54E+03,4.01E+03,4.00E+03,3.65E+03,3.35E+03,3.43E+03,3.15E+03,,,
Afghanistan,AFG,0.00E+00,2.46E+03,4.13E+03,4.58E+03,5.29E+03,6.28E+03,7.06E+03,9.84E+03,1.02E+04,1.25E+04,1.59E+04,1.79E+04,2.05E+04,,,
Angola,AGO,9.13E+03,8.94E+03,1.25E+04,1.42E+04,1.96E+04,2.82E+04,4.18E+04,6.04E+04,8.42E+04,7.55E+04,8.25E+04,1.04E+05,1.15E+05,,,
Albania,ALB,3.69E+03,4.09E+03,4.45E+03,5.65E+03,7.46E+03,8.38E+03,9.13E+03,1.07E+04,1.29E+04,1.20E+04,1.19E+04,1.29E+04,1.23E+04,,,
Arab World,ARB,7.31E+05,7.19E+05,7.25E+05,8.18E+05,9.59E+05,1.18E+06,1.40E+06,1.63E+06,2.07E+06,1.79E+06,2.10E+06,2.49E+06,2.75E+06,,,
United Arab Emirates,ARE,1.04E+05,1.03E+05,1.10E+05,1.24E+05,1.48E+05,1.81E+05,2.22E+05,2.58E+05,3.15E+05,2.54E+05,2.86E+05,3.47E+05,3.72E+05,,,
Argentina,ARG,2.84E+05,2.69E+05,1.02E+05,1.30E+05,1.83E+05,2.23E+05,2.63E+05,3.30E+05,4.06E+05,3.79E+05,4.63E+05,5.60E+05,6.08E+05,,,
Armenia,ARM,1.91E+03,2.12E+03,2.38E+03,2.81E+03,3.58E+03,4.90E+03,6.38E+03,9.21E+03,1.17E+04,8.65E+03,9.26E+03,1.01E+04,9.96E+03,,,
American Samoa,ASM,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
Antigua and Barbuda,ATG,7.84E+02,7.74E+02,8.03E+02,8.40E+02,8.98E+02,9.97E+02,1.14E+03,1.29E+03,1.35E+03,1.21E+03,1.14E+03,1.13E+03,1.20E+03,,,
Australia,AUS,4.15E+05,3.78E+05,3.94E+05,4.66E+05,6.13E+05,6.93E+05,7.47E+05,8.53E+05,1.06E+06,9.26E+05,1.14E+06,1.39E+06,1.53E+06,,,
Austria,AUT,1.96E+05,1.97E+05,2.13E+05,2.61E+05,3.00E+05,3.15E+05,3.34E+05,3.86E+05,4.28E+05,3.98E+05,3.90E+05,4.29E+05,4.08E+05,,,
Azerbaijan,AZE,5.27E+03,5.71E+03,6.24E+03,7.28E+03,8.68E+03,1.32E+04,2.10E+04,3.31E+04,4.89E+04,4.43E+04,5.29E+04,6.60E+04,6.87E+04,,,
Burundi,BDI,8.70E+02,8.77E+02,8.25E+02,7.85E+02,9.15E+02,1.12E+03,1.27E+03,1.36E+03,1.61E+03,1.74E+03,2.03E+03,2.36E+03,2.47E+03,,,
Belgium,BEL,2.37E+05,2.37E+05,2.58E+05,3.19E+05,3.70E+05,3.87E+05,4.11E+05,4.72E+05,5.20E+05,4.86E+05,4.84E+05,5.28E+05,4.99E+05,,,
Benin,BEN,2.36E+03,2.50E+03,2.81E+03,3.56E+03,4.05E+03,4.36E+03,4.71E+03,5.51E+03,6.63E+03,6.58E+03,6.56E+03,7.29E+03,7.54E+03,,,
Burkina Faso,BFA,2.63E+03,2.81E+03,3.21E+03,4.21E+03,4.84E+03,5.46E+03,5.84E+03,6.77E+03,8.37E+03,8.37E+03,8.98E+03,1.07E+04,1.12E+04,,,
Bangladesh,BGD,5.34E+04,5.40E+04,5.47E+04,6.02E+04,6.51E+04,6.94E+04,7.18E+04,7.96E+04,9.16E+04,1.02E+05,1.15E+05,1.29E+05,1.33E+05,,,
Bulgaria,BGR,1.34E+04,1.43E+04,1.63E+04,2.11E+04,2.59E+04,2.93E+04,3.36E+04,4.36E+04,5.33E+04,5.02E+04,4.87E+04,5.58E+04,5.26E+04,,,
Bahrain,BHR,9.06E+03,8.98E+03,9.63E+03,1.11E+04,1.32E+04,1.60E+04,1.85E+04,2.17E+04,2.57E+04,2.29E+04,2.57E+04,2.90E+04,3.08E+04,,,
"Bahamas, The",BHS,6.33E+03,6.52E+03,6.96E+03,6.95E+03,7.09E+03,7.71E+03,7.97E+03,8.32E+03,8.25E+03,7.82E+03,7.91E+03,7.89E+03,8.23E+03,,,
Bosnia and Herzegovina,BIH,5.51E+03,5.75E+03,6.65E+03,8.37E+03,1.00E+04,1.09E+04,1.26E+04,1.54E+04,1.87E+04,1.73E+04,1.68E+04,1.83E+04,1.69E+04,,,
Belarus,BLR,1.27E+04,1.24E+04,1.46E+04,1.78E+04,2.31E+04,3.02E+04,3.70E+04,4.53E+04,6.08E+04,4.92E+04,5.52E+04,5.97E+04,6.36E+04,,,
Belize,BLZ,8.32E+02,8.72E+02,9.33E+02,9.90E+02,1.06E+03,1.11E+03,1.22E+03,1.29E+03,1.37E+03,1.34E+03,1.40E+03,1.49E+03,1.57E+03,,,
Bermuda,BMU,3.48E+03,3.68E+03,3.94E+03,4.19E+03,4.48E+03,4.87E+03,5.41E+03,5.90E+03,6.11E+03,5.81E+03,5.74E+03,5.55E+03,5.54E+03,,,
Bolivia,BOL,8.40E+03,8.14E+03,7.91E+03,8.08E+03,8.77E+03,9.55E+03,1.15E+04,1.31E+04,1.67E+04,1.73E+04,1.96E+04,2.39E+04,2.70E+04,,,
Brazil,BRA,6.57E+05,5.60E+05,5.09E+05,5.59E+05,6.70E+05,8.92E+05,1.11E+06,1.40E+06,1.69E+06,1.66E+06,2.21E+06,2.62E+06,2.41E+06,,,
Barbados,BRB,3.12E+03,3.11E+03,3.17E+03,3.27E+03,3.51E+03,3.89E+03,4.30E+03,4.55E+03,4.60E+03,4.60E+03,4.45E+03,4.36E+03,4.31E+03,,,
Brunei Darussalam,BRN,6.00E+03,5.60E+03,5.84E+03,6.56E+03,7.87E+03,9.53E+03,1.15E+04,1.22E+04,1.44E+04,1.07E+04,1.24E+04,1.67E+04,1.70E+04,,,
Bhutan,BTN,4.39E+02,4.76E+02,5.37E+02,6.22E+02,7.03E+02,8.19E+02,8.98E+02,1.20E+03,1.26E+03,1.26E+03,1.59E+03,1.82E+03,1.82E+03,,,
Botswana,BWA,5.79E+03,5.49E+03,5.44E+03,7.51E+03,8.96E+03,9.93E+03,1.01E+04,1.09E+04,1.09E+04,1.03E+04,1.28E+04,1.57E+04,1.48E+04,,,
Central African Republic,CAF,9.15E+02,9.32E+02,9.91E+02,1.14E+03,1.27E+03,1.35E+03,1.47E+03,1.70E+03,1.99E+03,1.98E+03,1.99E+03,2.20E+03,2.17E+03,,,
Canada,CAN,7.39E+05,7.33E+05,7.53E+05,8.88E+05,1.02E+06,1.16E+06,1.31E+06,1.46E+06,1.54E+06,1.37E+06,1.61E+06,1.79E+06,1.83E+06,,,
Central Europe and the Baltics,CEB,4.31E+05,4.72E+05,5.30E+05,6.35E+05,7.61E+05,8.82E+05,9.98E+05,1.26E+06,1.51E+06,1.27E+06,1.30E+06,1.44E+06,1.34E+06,,,
Switzerland,CHE,2.72E+05,2.79E+05,3.01E+05,3.52E+05,3.94E+05,4.08E+05,4.29E+05,4.77E+05,5.52E+05,5.40E+05,5.81E+05,6.96E+05,6.66E+05,,,
Channel Islands,CHI,6.44E+03,6.23E+03,6.66E+03,7.33E+03,8.55E+03,8.83E+03,9.68E+03,1.15E+04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
Chile,CHL,7.93E+04,7.23E+04,7.10E+04,7.78E+04,1.01E+05,1.24E+05,1.55E+05,1.73E+05,1.80E+05,1.72E+05,2.18E+05,2.51E+05,2.65E+05,,,
China,CHN,1.21E+06,1.33E+06,1.46E+06,1.65E+06,1.94E+06,2.27E+06,2.73E+06,3.52E+06,4.56E+06,5.06E+06,6.04E+06,7.49E+06,8.46E+06,,,
Cote d'Ivoire,CIV,1.07E+04,1.12E+04,1.23E+04,1.53E+04,1.66E+04,1.71E+04,1.78E+04,2.03E+04,2.42E+04,2.43E+04,2.49E+04,2.54E+04,2.70E+04,,,
Cameroon,CMR,9.29E+03,9.63E+03,1.09E+04,1.36E+04,1.58E+04,1.66E+04,1.80E+04,2.04E+04,2.33E+04,2.34E+04,2.36E+04,2.66E+04,2.65E+04,,,
"Congo, Rep.",COG,3.22E+03,2.79E+03,3.02E+03,3.50E+03,4.65E+03,6.09E+03,7.73E+03,8.39E+03,1.19E+04,9.59E+03,1.20E+04,1.44E+04,1.37E+04,,,
Colombia,COL,9.99E+04,9.82E+04,9.79E+04,9.47E+04,1.17E+05,1.47E+05,1.63E+05,2.07E+05,2.44E+05,2.34E+05,2.87E+05,3.35E+05,3.70E+05,,,
Comoros,COM,2.02E+02,2.20E+02,2.47E+02,3.18E+02,3.68E+02,3.80E+02,4.06E+02,4.62E+02,5.23E+02,5.24E+02,5.30E+02,5.86E+02,5.71E+02,,,
Cabo Verde,CPV,5.39E+02,5.63E+02,6.21E+02,8.14E+02,9.24E+02,9.72E+02,1.11E+03,1.51E+03,1.79E+03,1.71E+03,1.66E+03,1.86E+03,1.75E+03,,,
Costa Rica,CRI,1.59E+04,1.64E+04,1.68E+04,1.75E+04,1.86E+04,2.00E+04,2.25E+04,2.63E+04,2.98E+04,2.94E+04,3.63E+04,4.12E+04,4.53E+04,,,
Caribbean small states,CSS,3.23E+04,3.32E+04,3.50E+04,3.74E+04,4.08E+04,4.66E+04,5.24E+04,5.83E+04,6.65E+04,5.60E+04,5.92E+04,6.38E+04,6.53E+04,,,
Cuba,CUB,3.06E+04,3.17E+04,3.36E+04,3.59E+04,3.82E+04,4.26E+04,5.27E+04,5.86E+04,6.08E+04,6.21E+04,6.43E+04,6.90E+04,7.31E+04,,,
Curacao,CUW,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
Cayman Islands,CYM,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,,
Cyprus,CYP,9.93E+03,1.03E+04,1.13E+04,1.44E+04,1.72E+04,1.83E+04,1.99E+04,2.37E+04,2.75E+04,2.56E+04,2.52E+04,2.71E+04,2.49E+04,,,
Czech Republic,CZE,6.15E+04,6.74E+04,8.17E+04,9.93E+04,1.19E+05,1.36E+05,1.55E+05,1.89E+05,2.35E+05,2.06E+05,2.07E+05,2.27E+05,2.07E+05,,,
Germany,DEU,1.95E+06,1.95E+06,2.08E+06,2.50E+06,2.82E+06,2.86E+06,3.00E+06,3.44E+06,3.75E+06,3.41E+06,3.41E+06,3.75E+06,3.53E+06,,,
Djibouti,DJI,5.51E+02,5.72E+02,5.91E+02,6.22E+02,6.66E+02,7.09E+02,7.69E+02,8.48E+02,9.99E+02,1.20E+03,1.13E+03,1.24E+03,1.35E+03,,,
Dominica,DMA,3.36E+02,3.43E+02,3.38E+02,3.50E+02,3.75E+02,3.70E+02,3.98E+02,4.29E+02,4.69E+02,4.99E+02,4.93E+02,5.09E+02,5.15E+02,,,
Denmark,DNK,1.64E+05,1.65E+05,1.79E+05,2.18E+05,2.51E+05,2.65E+05,2.83E+05,3.20E+05,3.53E+05,3.20E+05,3.20E+05,3.41E+05,3.22E+05,,,
Dominican Republic,DOM,2.40E+04,2.49E+04,2.66E+04,2.13E+04,2.22E+04,3.34E+04,3.58E+04,4.37E+04,4.75E+04,4.79E+04,5.30E+04,5.80E+04,6.04E+04,,,
Algeria,DZA,5.48E+04,5.47E+04,5.68E+04,6.79E+04,8.53E+04,1.03E+05,1.17E+05,1.35E+05,1.71E+05,1.37E+05,1.61E+05,1.99E+05,2.04E+05,,,
East Asia & Pacific (developing only),EAP,1.73E+06,1.84E+06,2.04E+06,2.30E+06,2.67E+06,3.08E+06,3.71E+06,4.69E+06,5.93E+06,6.43E+06,7.79E+06,9.52E+06,1.06E+07,,,
East Asia & Pacific (all income levels),EAS,8.12E+06,7.55E+06,7.68E+06,8.45E+06,9.47E+06,1.01E+07,1.07E+07,1.20E+07,1.38E+07,1.42E+07,1.66E+07,1.92E+07,2.06E+07,,,
Europe & Central Asia (developing only),ECA,4.32E+05,3.83E+05,4.42E+05,5.63E+05,7.22E+05,8.97E+05,1.05E+06,1.34E+06,1.60E+06,1.33E+06,1.52E+06,1.71E+06,1.75E+06,,,
Europe & Central Asia (all income levels),ECS,9.92E+06,1.00E+07,1.10E+07,1.34E+07,1.56E+07,1.66E+07,1.80E+07,2.10E+07,2.31E+07,2.03E+07,2.08E+07,2.29E+07,2.20E+07,,,
Ecuador,ECU,1.83E+04,2.45E+04,2.85E+04,3.24E+04,3.66E+04,4.15E+04,4.68E+04,5.10E+04,6.18E+04,6.25E+04,6.96E+04,7.93E+04,8.76E+04,,,
"Egypt, Arab Rep.",EGY,9.98E+04,9.76E+04,8.79E+04,8.29E+04,7.88E+04,8.97E+04,1.07E+05,1.30E+05,1.63E+05,1.89E+05,2.19E+05,2.36E+05,2.63E+05,,,
Euro area,EMU,6.49E+06,6.59E+06,7.17E+06,8.85E+06,1.01E+07,1.05E+07,1.12E+07,1.29E+07,1.41E+07,1.29E+07,1.26E+07,1.36E+07,1.26E+07,,,
Eritrea,ERI,7.06E+02,7.52E+02,7.29E+02,8.70E+02,1.11E+03,1.10E+03,1.21E+03,1.32E+03,1.38E+03,1.86E+03,2.12E+03,2.61E+03,3.09E+03,,,
Spain,ESP,5.95E+05,6.26E+05,7.05E+05,9.07E+05,1.07E+06,1.16E+06,1.26E+06,1.48E+06,1.63E+06,1.50E+06,1.43E+06,1.49E+06,1.36E+06,,,
Estonia,EST,5.69E+03,6.23E+03,7.31E+03,9.82E+03,1.21E+04,1.40E+04,1.70E+04,2.22E+04,2.42E+04,1.96E+04,1.95E+04,2.28E+04,2.27E+04,,,
Ethiopia,ETH,8.24E+03,8.23E+03,7.85E+03,8.62E+03,1.01E+04,1.24E+04,1.53E+04,1.97E+04,2.71E+04,3.24E+04,2.99E+04,3.20E+04,4.33E+04,,,
European Union,EUU,8.81E+06,8.92E+06,9.72E+06,1.19E+07,1.37E+07,1.43E+07,1.53E+07,1.77E+07,1.90E+07,1.70E+07,1.69E+07,1.83E+07,1.72E+07,,,
Fragile and conflict affected situations,FCS,2.10E+05,1.97E+05,1.92E+05,2.17E+05,2.49E+05,3.01E+05,3.53E+05,4.39E+05,5.57E+05,5.10E+05,5.92E+05,6.29E+05,7.23E+05,,,
Finland,FIN,1.26E+05,1.29E+05,1.40E+05,1.71E+05,1.97E+05,2.04E+05,2.17E+05,2.55E+05,2.84E+05,2.51E+05,2.48E+05,2.74E+05,2.57E+05,,,
Fiji,FJI,1.68E+03,1.66E+03,1.84E+03,2.32E+03,2.73E+03,3.01E+03,3.10E+03,3.41E+03,3.52E+03,2.87E+03,3.14E+03,3.65E+03,3.85E+03,,,
France,FRA,1.37E+06,1.38E+06,1.50E+06,1.85E+06,2.12E+06,2.20E+06,2.33E+06,2.66E+06,2.92E+06,2.69E+06,2.65E+06,2.86E+06,2.68E+06,,,
Faeroe Islands,FRO,1.06E+03,1.15E+03,1.27E+03,1.49E+03,1.68E+03,1.73E+03,1.97E+03,2.28E+03,2.41E+03,2.26E+03,2.30E+03,2.47E+03,2.36E+03,,,
"Micronesia, Fed. Sts.",FSM,2.33E+02,2.40E+02,2.42E+02,2.45E+02,2.40E+02,2.50E+02,2.53E+02,2.56E+02,2.61E+02,2.78E+02,2.94E+02,3.10E+02,3.26E+02,,,
Gabon,GAB,5.07E+03,5.02E+03,5.31E+03,6.50E+03,7.76E+03,9.46E+03,1.02E+04,1.24E+04,1.55E+04,1.22E+04,1.45E+04,1.78E+04,1.77E+04,,,
United Kingdom,GBR,1.55E+06,1.53E+06,1.67E+06,1.94E+06,2.30E+06,2.41E+06,2.58E+06,2.96E+06,2.79E+06,2.31E+06,2.41E+06,2.59E+06,2.61E+06,,,
Georgia,GEO,3.06E+03,3.22E+03,3.40E+03,3.99E+03,5.13E+03,6.41E+03,7.75E+03,1.02E+04,1.28E+04,1.08E+04,1.16E+04,1.44E+04,1.58E+04,,,
Ghana,GHA,4.98E+03,5.31E+03,6.17E+03,7.63E+03,8.88E+03,1.07E+04,2.04E+04,2.48E+04,2.85E+04,2.60E+04,3.22E+04,3.96E+04,4.19E+04,,,
