Country,Code,Gender,Y2000,Y2005,Y2010,Y2012
Aruba,ABW,males,5,5,5,5
Andorra,AND,males,43.6,41.3,39.2,38.5
Afghanistan,AFG,males,5,5,5,5
Angola,AGO,males,5,5,5,5
Albania,ALB,males,56.9,54.7,53.1,52.1
Arab World,ARB,males,5,5,5,5
United Arab Emirates,ARE,males,5,5,5,5
Argentina,ARG,males,43.7,38.2,33.4,31.8
Armenia,ARM,males,67.1,61.5,56.7,54.8
American Samoa,ASM,males,5,5,5,5
Antigua and Barbuda,ATG,males,5,5,5,5
Australia,AUS,males,27.1,23,19.6,18.4
Austria,AUT,males,46.4,42.3,38.8,37.4
Azerbaijan,AZE,males,58.6,54.1,49.9,48.6
Burundi,BDI,males,5,5,5,5
Belgium,BEL,males,35.6,32.1,29.1,28
Benin,BEN,males,12.4,13.8,15.6,16.4
Burkina Faso,BFA,males,23.6,27,31.1,33.1
Bangladesh,BGD,males,63.7,54.2,46.6,43.7
Bulgaria,BGR,males,58.8,52.7,47.1,45.2
Bahrain,BHR,males,18.2,25,34.8,40.1
"Bahamas, The",BHS,males,5,5,5,5
Bosnia and Herzegovina,BIH,males,57.7,53.8,50,49
Belarus,BLR,males,64.1,57.6,51.3,49.4
Belize,BLZ,males,5,5,5,5
Bermuda,BMU,males,5,5,5,5
Bolivia,BOL,males,50.9,42.8,35.8,33.6
Brazil,BRA,males,29.4,25.4,22.2,21
Barbados,BRB,males,13.8,13.5,13.2,13.2
Brunei Darussalam,BRN,males,29.5,29.2,29.1,29.2
Bhutan,BTN,males,5,5,5,5
Botswana,BWA,males,5,5,5,5
Central African Republic,CAF,males,5,5,5,5
Canada,CAN,males,29.4,24.8,20.9,19.5
Central Europe and the Baltics,CEB,males,48.20913374,43.18419296,39.00672453,37.56564004
Switzerland,CHE,males,35,31.8,29.2,28.3
Channel Islands,CHI,males,5,5,5,5
Chile,CHL,males,49.9,46.2,42.8,41.7
China,CHN,males,55.8,52.9,50.1,49
Cote d'Ivoire,CIV,males,5,5,5,5
Cameroon,CMR,males,12.3,18.7,28.5,33.7
"Congo, Rep.",COG,males,10.1,16.2,26.4,32.1
Colombia,COL,males,24.5,21.1,18.3,17.2
Comoros,COM,males,30.6,27.7,25.2,24.4
Cabo Verde,CPV,males,14.4,16.5,19.1,20.2
Costa Rica,CRI,males,27.5,23.7,20.9,19.8
Caribbean small states,CSS,males,5,5,5,5
Cuba,CUB,males,54.7,54,53.2,53.2
Curacao,CUW,males,5,5,5,5
Cayman Islands,CYM,males,5,5,5,5
Cyprus,CYP,males,5,5,5,5
Czech Republic,CZE,males,40.7,39.5,38.5,38
Germany,DEU,males,38.4,36.1,34.3,33.6
Djibouti,DJI,males,5,5,5,5
Dominica,DMA,males,5,5,5,5
Denmark,DNK,males,41.6,31.1,23.4,21
Dominican Republic,DOM,males,21.7,20.4,19.5,19.1
Algeria,DZA,males,5,5,5,5
East Asia & Pacific (developing only),EAP,males,55.48676767,53.33278926,51.44844939,50.84456383
East Asia & Pacific (all income levels),EAS,males,55.03481873,52.55846815,50.43265085,49.74405758
Europe & Central Asia (developing only),ECA,males,55.39517843,50.1895648,45.49573426,43.84834334
Europe & Central Asia (all income levels),ECS,males,48.24052517,44.24261898,40.77364916,39.55160193
Ecuador,ECU,males,21.4,18.4,15.9,15.1
"Egypt, Arab Rep.",EGY,males,35.5,39.3,43.9,45.9
Euro area,EMU,males,39.25768019,36.26134858,33.61335096,32.57954468
Eritrea,ERI,males,5,5,5,5
Spain,ESP,males,45.2,39.8,35.3,33.7
Estonia,EST,males,55.3,49.9,45.2,43.6
Ethiopia,ETH,males,9,9.1,9,8.9
European Union,EUU,males,39.9815222,36.22201594,32.97735976,31.79067043
Fragile and conflict affected situations,FCS,males,5,5,5,5
Finland,FIN,males,33.8,29.9,26.3,25
Fiji,FJI,males,52,46.4,42.3,40.6
France,FRA,males,37.7,34.8,32.1,31.1
Faeroe Islands,FRO,males,5,5,5,5
"Micronesia, Fed. Sts.",FSM,males,5,5,5,5
Gabon,GAB,males,5,5,5,5
United Kingdom,GBR,males,31.3,26.8,23,21.8
Georgia,GEO,males,63.4,61.4,59.6,58.6
Ghana,GHA,males,9.2,10.3,11.6,12.1
Guinea,GIN,males,5,5,5,5
"Gambia, The",GMB,males,5,5,5,5
Guinea-Bissau,GNB,males,5,5,5,5
Equatorial Guinea,GNQ,males,5,5,5,5
Greece,GRC,males,63,59.3,55.6,54.3
Grenada,GRD,males,5,5,5,5
Greenland,GRL,males,5,5,5,5
Guatemala,GTM,males,5,5,5,5
Guam,GUM,males,5,5,5,5
Guyana,GUY,males,5,5,5,5
High income,HIC,males,41.45449329,37.41685186,34.0086534,32.80199688
"Hong Kong SAR, China",HKG,males,5,5,5,5
Honduras,HND,males,60.2,49.2,40.3,37.2
Heavily indebted poor countries (HIPC),HPC,males,5,5,5,5
Croatia,HRV,males,40.3,39.8,39.4,39.4
Haiti,HTI,males,18.4,19.4,20.7,21.2
Hungary,HUN,males,46.1,40.6,35.9,34.5
Indonesia,IDN,males,56.2,62,68.4,71.8
Isle of Man,IMN,males,5,5,5,5
India,IND,males,35.9,29.5,24.4,22.8
Not classified,INX,males,5,5,5,5
Ireland,IRL,males,33.1,28.9,25.5,24.2
"Iran, Islamic Rep.",IRN,males,30.2,26.8,23.8,22.9
Iraq,IRQ,males,5,5,5,5
Iceland,ISL,males,33.5,26.5,21.1,19.3
Israel,ISR,males,43.6,42.5,41.8,41.7
Italy,ITA,males,32.9,31.2,29.7,29.1
Jamaica,JAM,males,29,28.9,29.3,29.5
Jordan,JOR,males,42,49.6,58.9,63.6
Japan,JPN,males,51.3,44.4,38.4,36.3
Kazakhstan,KAZ,males,57.4,52.2,47.8,46.3
Kenya,KEN,males,31,28.5,26.3,25.7
Kyrgyz Republic,KGZ,males,51.1,50.3,50.4,50.2
Cambodia,KHM,males,51.2,48.4,46,45.2
Kiribati,KIR,males,82,75.9,69.3,67.3
St. Kitts and Nevis,KNA,males,5,5,5,5
